,essay_id,full_text,score
0,2cf189d,"The day-to-day need of your own cars may not be as needed as you think. Cars aren't as nice as they seem to be. First of all they cause smog and pollution. But people say that not driving themselves is a stress reliever. Although can be handy people just don't see a drivers license a priority.

Paris is one of the most polluted capital in Europe. They decide to cut the smog and ban some cars of being on the road. ""On Monday even-numbered license plates were ordered to leave their cars at home or suffer a 22-euro fine ($31). The same would apply to odd-numbered plates the following day."" You can imagine people weren't happy about it because around 4,000 people were fined; and 27 people denied the fines and their cars were impounded. ""The smog cleared enough Monday for the ruling French party to rescind the ban for odd-numbered plates on Tuesday.""

Although some people were not friends without their cars others thought it was a stress reliever. In Bogota they have a car-free day where no one is allowed to drive their cars; they are only allowed to bike, walk, skate, bus, or take taxi. Anyway to get around with out useing your car. ""It's a good opportunity to atke away stress and lower pollution,"".

Young people in America have lost a prority in getting their drivers license. ""He and I have similar observations about our childeren. Mine (19 and 21) have not bothered to get a drivers license, even though they both live in places where one might come in handy. They are intrested, but it's not a priority. They orginize their summer jobs and social life around where they can walk or take public transportation or car-pool with friends."" A study has found between 2001 and 2009 23% of young drivers decreased.

In conclusion we are all better off with out cars. To decrease pollution, to relive our daily stress and we just dont need them.    ",3
1,4270df5,"Exploring somewhere new could be fun or could be a waste of time. Though their are many dangers in going to new places that you have never been before, it is akways worth a shot. So where are we actually talking about going? Venus, despite the dangers, is a worthy pursuit. I believe that it is worthy, because it is the most Earth-like planet in the solar system, it still has some features that are analogous to Earth, and it can be the nearest option for a planetary visit.

Firstly, I believe that Venus is a worthy pursuit, because it is the most Earth-like plant in our solar system. Scientist believe that Venus probably covered largely with oceans and could have supported various forms of life. You can find this is the text saying,""Astronomers are facinated by Venus because it may well once have been the most Earth-like planet in our solar system. Long ago, Venus was probably covered largely with oceans and could have supported various forms of life, just like Earth.""

Secondly, I believe that Venus is a worthy pursuit, because it has some features that are analogous to those on Earth. Though Venus may have been covered in oceans or supported forms of life, it also has features that Earth didn't know could even be there. You can find this in the text reading,""Today Venus still has some features that are analogous to those on Earth. The planet has a surface of rocky sediment and includes familiar features such as valleys, mountains, and craters.""

Lastly, I believe that Venus is a worthy pursuit, because it can be our nearest option for a planetary visit. Though traveling to Mars or the moon is what we usually set explorations for, Venus is the nearest planet we could visit. Traveling to Venus can sometimes be crucial when given the time frames of space travel. I have found this statement that allows me to believe that,""...recall that Venus can sometimes be our nearest option for a planetary visit, a crucial consideration given the long time frames of space travel.""

So traveling can be considered fun or a waste of time. What do you think? Are you travelling to Venus? Considering my following points, that Venus is the most Earth-like planet, it has features analogous to those on Earth, and it can be our nearest option for a planetary visit, I believe that Venus is a worthy pursuit, despite its danger. ",4
2,375c3d7,"The Presidental Elections .

The elections are a brutal time canididates compete for the favor of the citizens they campain, give great speaches about why they would be best for the position of leading the nation, often state why their adversary would be the worst person for the job. This causes oposition in the nation tearing it apart, however now not only are the people emotional about the election but also about the process, their are aguments about whether or not that the orginal process sould remain. The system that the  elections have been held sence the Constitution has been written was that each citizen in a state would vote for one canadidate or the other by voting for the electors of that specific person then  the electors in turn would vote for the cannidate and their votes would decide the presidency as stated in paragraph six and seven of the first source""

What Is the Electoral College?""  by the Office of the Federal Register . This system althoug it has worked so far it is not the best way of conducting the elections in this time and age citizens should modify and conform the process to fit the need we have now.

The problems claimed by the ones opoised to the electoral college, as told in the second source "" The Idefensible Electoral College: Why even the best-laid defenses of the system are wrong"" by Bradford Plumer, are that the process cause individuals to have little to no say in the person that will be their leader for years, they do not have control over who their canadidates elect and must simply hope that they do indead vote for who they promised to, also the election is decieded by the few states that do not have a predetermined majority of voters in each state leaving the rest of the country feeling left out of the feasco of the election and as if their perfered canidate dose not care of them or their support and opinions. This persents the system to be truly flawed in the way that it is curantly operateing.

Individuals,as source three ""In Defense of the Electorial College: Five reasons to keep our despised method of choosing the President"" by Richard A. Posner, wish to claim that the system is not flawed in great lenghts because it has worked for such a time that it is seen by them sufficant in its orcastration. It is said that the electors often do vote for who they pleaged they would and that decite is uncomon: however why should America risk the posibility of decite it has happened befor and if not prevented it will happen again. Do we not owe it to ourselves, posterity, and country to fix all potental harms to our nation the presidency should not be taken lightly it is a grand position that gives power and fame to all who hold those who have it could maintain the country, grace the nation with new prosperity, or condem Americans to years of suffering, toil, and misery. As citizens we should not alow anyone but the most valid character obtain this place. Mistakes are not alowed! we should take it upon ourselves now to modify this method be for it is to late and avertid.

There is no mitake America must act fast and modify this method for the nation, for their children, and for themselves.    ",4
3,83929a3,"Envision a world in which people are able to travel far distances in a car without even touching the steering wheel. People could trust technology to protect them in all possible traffic situations. Driverless cars are the future that many scientists, technology enthusiasts, and even common people like myself envision.

Many engineers and scientists are currently working on creating completely driverless cars. Driverless cars would safely replace human drivers' abilities by using multiple sensors located on all sides of the car. Sensors take in a vehicle's surroundings in order to process the information gathered and respond accordingly. The article ""Driverless Cars Are Coming"" states: ""The combination of all this [sensory] input is necessary for the driverless car to mimic the skill of a human at the wheel."" Driverless cars are designed to be safe and to protect humans at all times.

Driverless cars would take the stress of driving away from people. Some driverless car manufacturers plan to provide entertainment and information systems inside the cars for passengers. Long road trips would be much less tiring and tedious if all passengers were able to sleep, eat, and be entertained by movies, TV, or the Internet at all times. Driverless cars would make life easier by making travelling more convenient and safe for everybody. If everybody had a driverless car, then everybody would be protected by advanced smart technology. Travelling would be enjoyable and no longer stressful and scary for people who fear getting in a wreck.

It would be foolish to not take advantage of today's greatly advanced technology. Humans all over the world would benefit from the safety, convenience, and entertainment that driverless cars would bring. Driverless cars are a valuable technological advancement that would have a significant effect on our everyday life.",4
4,2e44715,"The article is called The challenge of Exploring Venus. The author makes a explaination of how scientists will be able to find a way and travel to venus and adapt our lifes there and being able to live there with no danger and making it possible with technology.

Scientist want to find a way to get to Venus and they are thinking of ideas of making a space ship and having the astronauts fly there and trying them to adapt there lifes there. They are already studying and learning more about venus but they also want to have enough research so that they can be safe enough to know that it okay being there. Also, the atmospheric pressure in Venus is 90 times greater than what the human handle in earth. The temperature in Venus is going to toasty and around 170 degrees fahrenheit. Scientist talked about how astronomers are vasinated with traveling to Venus. Life on Venus would be as close as earth and can be the same to earth because Venus has mountains and valleys and craters. The technology in earth is really getting better but in venus the technology wouldn't handle the heat of venus because its to strong. But they are working so hard and facing the challenges that are coming against them. They talk about how modern computers are more delicate and could be more dangers to the conditions in venus. They are also having to face danger because its more heat and a high temperature for there body.

With scientists learning and pushing themselves to understand more about venus it helps to hopefully have a chance to one day to visit venus and adopt there lifes there and improve there technology. Only time and hard work of research would maybe help scientist visit venus.    ",2
5,2e10f49,"Studying Venus is a worthy pursuit despite the dangers because Venus is one of the brightest points of light in the night sky and human curiosity will likely lead us into many equally intimidating endeavors. Venus's knickname is sometimes called the ""Evening Star"" mainly because Venus is simple to see from the distant but safe vantage point of Earth has proved a very challenging place to examine closely.

It is also called the ""Evening Star"" because Venus is the closest planet to Earth in terms of density and size, and occasionally the closest in distance too. On Venus, the temperatures average over 800 degrees Farenheit, and the atmospheric pressure is 90 times greater than on Earth.

These conditions are far more extreme than anything human would encounter on Earth.

It is not suprising that the temperature average is so high given the fact that Venus has the hottest surface temperature of any planet in our solar system. So basically, if you walk on Venus you will get burns.

Studying Venus is one of the brightest points of light in the night sky because it is simple for even an amateur stargazer to spot.

Yes, Venus has proved a very challenging place to examine more closely, but although it is not clear due to the fact that 97 percent carbon dioxide blankets Venus, it is still simple to see from the distant, safe vantage point.

No spacecraft survived for more than a few hours because of the carbon dioxide blanketing clouds of Venus.

The clouds of Venus most likely explains why not a single spacecraft torched down on Venus for more than three decades. Venus's atmosphere at night is not affected by carbon dioxide of highly corrosive sulfuric acid. This is exactly why studying Venus is one of the brightest points of light in the night sky is simple for an amateur stargazer to spot.

Studying Venus is a worthy pursuit despite the dangers it presents because human curiosity will likely lead us into many equally intimidating endeavors.

Venus has value because of the insight to be gained on the planet itself just like intimidating endeavors does as well.

Our travels on Earth and beyond should not be limited by dangers and doubts, it should only be expanded to meet the very edges of imagination and innovation.

This helps to strive to meet the challenge presented by Venus has value.

So, because our travels should not be limited by dangers and doubts, intimidating endeavors should only be expanded to meet the imagination and innovation of the travel.

So, because Venus is simple to see from the distant and because our travels should be expanded, studying Venus is a worthy pursuit because it only presents a small amount of dangers.

So, If Venus was more of a dangerous planet to explore, walk on, and study, would this be a planet that everyone would be interested to study and afraid to walk on to explore?  ",2
6,8521413,"Dear Mr. Senator,

It has caught my attention that "" The Electoral College"" may not be the best suit voting system for our nation. The people expect a Democracy were every single vote counts. Unfortunetly that right is being stripped away, for the goverments own good. We go to vote for a fellow canadite, not a slate of electors. Electors in which are not guarenteed to to vote for your desired canidate. The states seem to over look the fact 60% of voters would perfer a direct election to the kind they have now.

Under the electoral college system, we the voters do not vote for president we vote for the electors,based on popular vote we choose the electors that repersent our state, that elect the president for us. The people involoved in the elections are those with political preferences, and it is not fair to strip them of there right to vote directly for the leader of the free world. For example many men and women follow the election when it comes time every four years, to see who is going to be the best head of house, he best comander and cheif, and the best leader of our country. The president should be a person the people respect and trust with everything they have. But unforutnetly the Electoral College does the deciding for us, all the devotion of politics and reaserch for our favorite candidates goes to waste.

In additon the next vaild argument against the electoral college is what many may call the disastor factor. Consider the fact that state legislatures are technically responsible for picking electors who could always defy the will of the people. For example in the 1960's the Loisiana legislature almost succeeded in replacing the Democratic electors with new electors that oppposed John F. Kennedy. And in the same cercumstance other electors have occasionally refused to vote for there party'd candidate and vote for whom ever they please. Yet perhaps one of the most worrying things is the situation in which the electoral vote becomes a tie. In that case the election would be given to the house of representatives. In which, the state delegations vote for the president and the senate elects the vice president. Beacuse each state only cast one vote, the single represenetive of california represents 35 million people. Hardly able to reflect on the will of the people.

To conclude, the electoral college is unfair, untrustworthy, and bias. This great nation is a democracy, the people choose . Not the representitives of the candidates who do not always express the will of the people. I must agree with my fellow 60% of voters in there desire to iradicate the electoral college.    ",3
7,1a8f6e7,"In the artical

the author talkes about the studys on Venus and its danger. The author also talks about the similarity between Venus and Earth. In The Challenge of Exploring Venus the author suggests that studying Venus and the danger it presents is important.

In the story ""The Challenge of Exploring Venus"" the author suggests that studying Venus is important. In the

artical the author says

""NASA is working on other approaches to studying Venus. For example, some simplified electronics made of silicon carbide have been tested in a chamber simulating the chaos of Venus's surface and have lasted for three weeks in such conditions."" In the

artical the author also says ""Long ago, Venus was probaly covered largely with oceans and could have supported various forms of life, just like Earth. ... The

planet has a surface of rocky sediment and includes familiar features such as valleys, mountains, and craters."" Both of these two quotes show how the author fealt about the studyes of Venus.

In the

artical ""The Challenge of Exploring Venus"" the author suggests that studying

the danger Venus presents is important. In the

artical the author says "" Venusian geology and weather present additional impediments like erupting volcanoes, powerful earthquakes, and frequent lightning strikes to probes seeking to land on its surface."" in the

artical the author also says "" On the planet's surface, temperatures average over 800 degrees Fahrenheit, and the atmospheric pressure is 90 times greater then what we experience on our own planet.""

The both of these quotes shows why the author thinks it is important to study the

danger Venus

presents.

The

artical ""The Challenge of Exploring Venus"" is about exploring new places and geting more knowlege. In The Challenge of Exploring Venus the author propose that studying Venus and the danger it presents is important.",2
8,6e80f55,"Global warming is one of the main reason, maybe the only reason the is destroying the atmosphere. Humans today are trying to prevent global warming because if we continue to pollute the atmosphere it can very well kill most of the living things, maybe all of the living thing on this planet, including humans ourselfs. I think reducing the usage of cars today is a great way to stop global warming.

One of the countries that are taking action in doing this is the countries is France. Paris has decided to partially ban driving to clear the air of the global city. In the text it states that, ""on Monday motorists with even-numbered license plates were ordered to leave their car at home or suffer a 22-euro fine ($31)."" This show that paris is trying to get rid of the smog in the air, and now they are asking their citizens to stop driving their cars, bike ect. Also if you don't partcipate in you will have to pay a fine of 22-euro. In addition one of the main subsatnces to motor pollution is diesel feul. the passage says that, ""diesel was the blame, since the France has...[a] tax policy that favors diesel over gasoline."" Since France favors the usage of diesel, this one of the main reason why they have forbidden the use of motor in paris. Moreover it states that;""deisel make up 67 percent of vehicles in France, compared to a 53.3 percent average of diesel engines in the rest of the Western Europe."" This again also proves that diesel plays a major role in the pollution of France. As you can see France is making changings to there country due to the global warming.

France is not the only one that has taken action by reducing the car usage. The city BOGOTA, Colombia has also changed their ways in cutting down on car usage.""Millions of colombians hiked, biked, skated or took buses to work during a car-free day yesterday, leaving the streets of this capital city eerily devoid of traffic jams,"" the text states. What this is trying to explain is that Columbia has a program that prevents the citizens from using vehicles, so the whole day they usa bikes, skates, and take the bus, even some of them go hiking to wherever they go. Consequently there are some benefits to having a car, such as basic transportation needs. In the text it states that,""but America's love affair with is vehicles seems to be cooling. When adjusted for population growth, the number of miles driven in the United States peaked in 2005 and dropped steadily.""Although driving is something essential to human needs these days, it is also very killing. As you can see other countries have taken part in this struggle to prevent global warming to get any worst.

In conclusion the reduction of using vehicle today can be one big step in slowing down the rate of global warming, although taking away cars me be a major problem to in basic transportation needs, it is better than killing everything on the planet.    ",4
9,823960d,"The Face is on Mars, Im a Scientist at NASA and, I can tell you that the Face is no Alien artifact. It is a landform of its own just like our Earth makes its own landforms like lakes, rivers, hills, ect. This Face had became a big pop icon. It started in a Hollywood film, appeared in books, magazines, radio and even talk shows. Some people think the Face is bona find evidence of life on Mars.

""Huge rock formation... which resembles a human head... formed by shadows giving the illusion of eyes, nose, and mouth."" This illusion is located at 41 degrees north martian latitude. The so called ""face"" is not a face it is not a alien monument artifact at all this is just made by the plant.

Some scientists beliveved the Face was an alien artifact. Latter of they founded out that it was not. When up an took a better photoghraph of the ""face"". What the picture actuallshws is the Martian equivalant of a butte or mesa-landforms. The landform is just a landfor nothing special to it at all. The ""face"" is just an illusion.",2
