,essay_id,full_text,score
0,2cf189d,the daytoday need of your own cars may not be as needed as you think cars arent as nice as they seem to be first of all they cause smog and pollution but people say that not driving themselves is a stress reliever although can be handy people just dont see a drivers license a priority paris is one of the most polluted capital in europe they decide to cut the smog and ban some cars of being on the road on monday evennumbered license plates were ordered to leave their cars at home or suffer a euro fine the same would apply to oddnumbered plates the following day you can imagine people werent happy about it because around people were fined and people denied the fines and their cars were impounded the smog cleared enough monday for the ruling french party to rescind the ban for oddnumbered plates on tuesday although some people were not friends without their cars others thought it was a stress reliever in bogota they have a carfree day where no one is allowed to drive their cars they are only allowed to bike walk skate bus or take taxi anyway to get around with out useing your car its a good opportunity to atke away stress and lower pollution young people in america have lost a prority in getting their drivers license he and i have similar observations about our childeren mine and have not bothered to get a drivers license even though they both live in places where one might come in handy they are intrested but its not a priority they orginize their summer jobs and social life around where they can walk or take public transportation or carpool with friends a study has found between and of young drivers decreased in conclusion we are all better off with out cars to decrease pollution to relive our daily stress and we just dont need them,3
1,4270df5,exploring somewhere new could be fun or could be a waste of time though their are many dangers in going to new places that you have never been before it is akways worth a shot so where are we actually talking about going venus despite the dangers is a worthy pursuit i believe that it is worthy because it is the most earthlike planet in the solar system it still has some features that are analogous to earth and it can be the nearest option for a planetary visit firstly i believe that venus is a worthy pursuit because it is the most earthlike plant in our solar system scientist believe that venus probably covered largely with oceans and could have supported various forms of life you can find this is the text sayingastronomers are facinated by venus because it may well once have been the most earthlike planet in our solar system long ago venus was probably covered largely with oceans and could have supported various forms of life just like earth secondly i believe that venus is a worthy pursuit because it has some features that are analogous to those on earth though venus may have been covered in oceans or supported forms of life it also has features that earth didnt know could even be there you can find this in the text readingtoday venus still has some features that are analogous to those on earth the planet has a surface of rocky sediment and includes familiar features such as valleys mountains and craters lastly i believe that venus is a worthy pursuit because it can be our nearest option for a planetary visit though traveling to mars or the moon is what we usually set explorations for venus is the nearest planet we could visit traveling to venus can sometimes be crucial when given the time frames of space travel i have found this statement that allows me to believe thatrecall that venus can sometimes be our nearest option for a planetary visit a crucial consideration given the long time frames of space travel so traveling can be considered fun or a waste of time what do you think are you travelling to venus considering my following points that venus is the most earthlike planet it has features analogous to those on earth and it can be our nearest option for a planetary visit i believe that venus is a worthy pursuit despite its danger,4
2,375c3d7,the presidental elections the elections are a brutal time canididates compete for the favor of the citizens they campain give great speaches about why they would be best for the position of leading the nation often state why their adversary would be the worst person for the job this causes oposition in the nation tearing it apart however now not only are the people emotional about the election but also about the process their are aguments about whether or not that the orginal process sould remain the system that the elections have been held sence the constitution has been written was that each citizen in a state would vote for one canadidate or the other by voting for the electors of that specific person then the electors in turn would vote for the cannidate and their votes would decide the presidency as stated in paragraph six and seven of the first source what is the electoral college by the office of the federal register this system althoug it has worked so far it is not the best way of conducting the elections in this time and age citizens should modify and conform the process to fit the need we have now the problems claimed by the ones opoised to the electoral college as told in the second source the idefensible electoral college why even the bestlaid defenses of the system are wrong by bradford plumer are that the process cause individuals to have little to no say in the person that will be their leader for years they do not have control over who their canadidates elect and must simply hope that they do indead vote for who they promised to also the election is decieded by the few states that do not have a predetermined majority of voters in each state leaving the rest of the country feeling left out of the feasco of the election and as if their perfered canidate dose not care of them or their support and opinions this persents the system to be truly flawed in the way that it is curantly operateing individualsas source three in defense of the electorial college five reasons to keep our despised method of choosing the president by richard a posner wish to claim that the system is not flawed in great lenghts because it has worked for such a time that it is seen by them sufficant in its orcastration it is said that the electors often do vote for who they pleaged they would and that decite is uncomon however why should america risk the posibility of decite it has happened befor and if not prevented it will happen again do we not owe it to ourselves posterity and country to fix all potental harms to our nation the presidency should not be taken lightly it is a grand position that gives power and fame to all who hold those who have it could maintain the country grace the nation with new prosperity or condem americans to years of suffering toil and misery as citizens we should not alow anyone but the most valid character obtain this place mistakes are not alowed we should take it upon ourselves now to modify this method be for it is to late and avertid there is no mitake america must act fast and modify this method for the nation for their children and for themselves,4
3,83929a3,envision a world in which people are able to travel far distances in a car without even touching the steering wheel people could trust technology to protect them in all possible traffic situations driverless cars are the future that many scientists technology enthusiasts and even common people like myself envision many engineers and scientists are currently working on creating completely driverless cars driverless cars would safely replace human drivers abilities by using multiple sensors located on all sides of the car sensors take in a vehicles surroundings in order to process the information gathered and respond accordingly the article driverless cars are coming states the combination of all this sensory input is necessary for the driverless car to mimic the skill of a human at the wheel driverless cars are designed to be safe and to protect humans at all times driverless cars would take the stress of driving away from people some driverless car manufacturers plan to provide entertainment and information systems inside the cars for passengers long road trips would be much less tiring and tedious if all passengers were able to sleep eat and be entertained by movies tv or the internet at all times driverless cars would make life easier by making travelling more convenient and safe for everybody if everybody had a driverless car then everybody would be protected by advanced smart technology travelling would be enjoyable and no longer stressful and scary for people who fear getting in a wreck it would be foolish to not take advantage of todays greatly advanced technology humans all over the world would benefit from the safety convenience and entertainment that driverless cars would bring driverless cars are a valuable technological advancement that would have a significant effect on our everyday life,4
4,2e44715,the article is called the challenge of exploring venus the author makes a explaination of how scientists will be able to find a way and travel to venus and adapt our lifes there and being able to live there with no danger and making it possible with technology scientist want to find a way to get to venus and they are thinking of ideas of making a space ship and having the astronauts fly there and trying them to adapt there lifes there they are already studying and learning more about venus but they also want to have enough research so that they can be safe enough to know that it okay being there also the atmospheric pressure in venus is times greater than what the human handle in earth the temperature in venus is going to toasty and around degrees fahrenheit scientist talked about how astronomers are vasinated with traveling to venus life on venus would be as close as earth and can be the same to earth because venus has mountains and valleys and craters the technology in earth is really getting better but in venus the technology wouldnt handle the heat of venus because its to strong but they are working so hard and facing the challenges that are coming against them they talk about how modern computers are more delicate and could be more dangers to the conditions in venus they are also having to face danger because its more heat and a high temperature for there body with scientists learning and pushing themselves to understand more about venus it helps to hopefully have a chance to one day to visit venus and adopt there lifes there and improve there technology only time and hard work of research would maybe help scientist visit venus,2
5,2e10f49,studying venus is a worthy pursuit despite the dangers because venus is one of the brightest points of light in the night sky and human curiosity will likely lead us into many equally intimidating endeavors venuss knickname is sometimes called the evening star mainly because venus is simple to see from the distant but safe vantage point of earth has proved a very challenging place to examine closely it is also called the evening star because venus is the closest planet to earth in terms of density and size and occasionally the closest in distance too on venus the temperatures average over degrees farenheit and the atmospheric pressure is times greater than on earth these conditions are far more extreme than anything human would encounter on earth it is not suprising that the temperature average is so high given the fact that venus has the hottest surface temperature of any planet in our solar system so basically if you walk on venus you will get burns studying venus is one of the brightest points of light in the night sky because it is simple for even an amateur stargazer to spot yes venus has proved a very challenging place to examine more closely but although it is not clear due to the fact that percent carbon dioxide blankets venus it is still simple to see from the distant safe vantage point no spacecraft survived for more than a few hours because of the carbon dioxide blanketing clouds of venus the clouds of venus most likely explains why not a single spacecraft torched down on venus for more than three decades venuss atmosphere at night is not affected by carbon dioxide of highly corrosive sulfuric acid this is exactly why studying venus is one of the brightest points of light in the night sky is simple for an amateur stargazer to spot studying venus is a worthy pursuit despite the dangers it presents because human curiosity will likely lead us into many equally intimidating endeavors venus has value because of the insight to be gained on the planet itself just like intimidating endeavors does as well our travels on earth and beyond should not be limited by dangers and doubts it should only be expanded to meet the very edges of imagination and innovation this helps to strive to meet the challenge presented by venus has value so because our travels should not be limited by dangers and doubts intimidating endeavors should only be expanded to meet the imagination and innovation of the travel so because venus is simple to see from the distant and because our travels should be expanded studying venus is a worthy pursuit because it only presents a small amount of dangers so if venus was more of a dangerous planet to explore walk on and study would this be a planet that everyone would be interested to study and afraid to walk on to explore,2
6,8521413,dear mr senator it has caught my attention that the electoral college may not be the best suit voting system for our nation the people expect a democracy were every single vote counts unfortunetly that right is being stripped away for the goverments own good we go to vote for a fellow canadite not a slate of electors electors in which are not guarenteed to to vote for your desired canidate the states seem to over look the fact of voters would perfer a direct election to the kind they have now under the electoral college system we the voters do not vote for president we vote for the electorsbased on popular vote we choose the electors that repersent our state that elect the president for us the people involoved in the elections are those with political preferences and it is not fair to strip them of there right to vote directly for the leader of the free world for example many men and women follow the election when it comes time every four years to see who is going to be the best head of house he best comander and cheif and the best leader of our country the president should be a person the people respect and trust with everything they have but unforutnetly the electoral college does the deciding for us all the devotion of politics and reaserch for our favorite candidates goes to waste in additon the next vaild argument against the electoral college is what many may call the disastor factor consider the fact that state legislatures are technically responsible for picking electors who could always defy the will of the people for example in the s the loisiana legislature almost succeeded in replacing the democratic electors with new electors that oppposed john f kennedy and in the same cercumstance other electors have occasionally refused to vote for there partyd candidate and vote for whom ever they please yet perhaps one of the most worrying things is the situation in which the electoral vote becomes a tie in that case the election would be given to the house of representatives in which the state delegations vote for the president and the senate elects the vice president beacuse each state only cast one vote the single represenetive of california represents million people hardly able to reflect on the will of the people to conclude the electoral college is unfair untrustworthy and bias this great nation is a democracy the people choose not the representitives of the candidates who do not always express the will of the people i must agree with my fellow of voters in there desire to iradicate the electoral college,3
7,1a8f6e7,in the artical the author talkes about the studys on venus and its danger the author also talks about the similarity between venus and earth in the challenge of exploring venus the author suggests that studying venus and the danger it presents is important in the story the challenge of exploring venus the author suggests that studying venus is important in the artical the author says nasa is working on other approaches to studying venus for example some simplified electronics made of silicon carbide have been tested in a chamber simulating the chaos of venuss surface and have lasted for three weeks in such conditions in the artical the author also says long ago venus was probaly covered largely with oceans and could have supported various forms of life just like earth the planet has a surface of rocky sediment and includes familiar features such as valleys mountains and craters both of these two quotes show how the author fealt about the studyes of venus in the artical the challenge of exploring venus the author suggests that studying the danger venus presents is important in the artical the author says venusian geology and weather present additional impediments like erupting volcanoes powerful earthquakes and frequent lightning strikes to probes seeking to land on its surface in the artical the author also says on the planets surface temperatures average over degrees fahrenheit and the atmospheric pressure is times greater then what we experience on our own planet the both of these quotes shows why the author thinks it is important to study the danger venus presents the artical the challenge of exploring venus is about exploring new places and geting more knowlege in the challenge of exploring venus the author propose that studying venus and the danger it presents is important,2
8,6e80f55,global warming is one of the main reason maybe the only reason the is destroying the atmosphere humans today are trying to prevent global warming because if we continue to pollute the atmosphere it can very well kill most of the living things maybe all of the living thing on this planet including humans ourselfs i think reducing the usage of cars today is a great way to stop global warming one of the countries that are taking action in doing this is the countries is france paris has decided to partially ban driving to clear the air of the global city in the text it states that on monday motorists with evennumbered license plates were ordered to leave their car at home or suffer a euro fine this show that paris is trying to get rid of the smog in the air and now they are asking their citizens to stop driving their cars bike ect also if you dont partcipate in you will have to pay a fine of euro in addition one of the main subsatnces to motor pollution is diesel feul the passage says that diesel was the blame since the france hasa tax policy that favors diesel over gasoline since france favors the usage of diesel this one of the main reason why they have forbidden the use of motor in paris moreover it states thatdeisel make up percent of vehicles in france compared to a percent average of diesel engines in the rest of the western europe this again also proves that diesel plays a major role in the pollution of france as you can see france is making changings to there country due to the global warming france is not the only one that has taken action by reducing the car usage the city bogota colombia has also changed their ways in cutting down on car usagemillions of colombians hiked biked skated or took buses to work during a carfree day yesterday leaving the streets of this capital city eerily devoid of traffic jams the text states what this is trying to explain is that columbia has a program that prevents the citizens from using vehicles so the whole day they usa bikes skates and take the bus even some of them go hiking to wherever they go consequently there are some benefits to having a car such as basic transportation needs in the text it states thatbut americas love affair with is vehicles seems to be cooling when adjusted for population growth the number of miles driven in the united states peaked in and dropped steadilyalthough driving is something essential to human needs these days it is also very killing as you can see other countries have taken part in this struggle to prevent global warming to get any worst in conclusion the reduction of using vehicle today can be one big step in slowing down the rate of global warming although taking away cars me be a major problem to in basic transportation needs it is better than killing everything on the planet,4
9,823960d,the face is on mars im a scientist at nasa and i can tell you that the face is no alien artifact it is a landform of its own just like our earth makes its own landforms like lakes rivers hills ect this face had became a big pop icon it started in a hollywood film appeared in books magazines radio and even talk shows some people think the face is bona find evidence of life on mars huge rock formation which resembles a human head formed by shadows giving the illusion of eyes nose and mouth this illusion is located at degrees north martian latitude the so called face is not a face it is not a alien monument artifact at all this is just made by the plant some scientists beliveved the face was an alien artifact latter of they founded out that it was not when up an took a better photoghraph of the face what the picture actuallshws is the martian equivalant of a butte or mesalandforms the landform is just a landfor nothing special to it at all the face is just an illusion,2
